title,property_type,location,price,bedrooms,bathrooms,toilets,added_date,updated_date
Stunning 5 Bedroom Detached Duplex,Stunning 5 Bedroom Detached Duplex/House FOR Sale,Vgc Lekki Lagos,370000000,5.0,5.0,,02 Nov 2025,11 Nov 2025
Stunning 4 Bedroom Semi Detached Duplex,Stunning 4 Bedroom Semi Detached Duplex/House FOR Sale,Lekki Conservation Chevron Lekki Lagos,160000000,4.0,4.0,,21 Oct 2025,11 Nov 2025
Lovely 3 Bedroom Apartment,Lovely 3 Bedroom Apartment/House FOR Sale,Lekki Phase 1 Lekki Lagos,300000000,3.0,3.0,,19 Oct 2025,11 Nov 2025
Lovely 4 Bedroom Terraced Duplex,Lovely 4 Bedroom Terraced Duplex/House FOR Sale,Orchid Lekki Lagos,125000000,4.0,4.0,,20 Oct 2025,11 Nov 2025
3 Bedroom Terrace Duplex,3 Bedroom Terrace Duplex/House FOR Sale,Orchid Lekki Lagos,110000000,3.0,3.0,,21 Oct 2025,11 Nov 2025
5 Bedroom Semi Detached Duplex With Bq,5 Bedroom Semi Detached Duplex With Bq/House FOR Sale,Victory Park Estate Osapa London Lekki Lagos,480000000,5.0,5.0,,21 Oct 2025,11 Nov 2025
Lovely 2 Bedroom Apartment,Lovely 2 Bedroom Apartment/House FOR Sale,Chevron Lekki Lagos,82000000,2.0,2.0,,21 Oct 2025,11 Nov 2025
Luxury 4 Bedroom Terraced Duplex,Luxury 4 Bedroom Terraced Duplex/House FOR Sale,Ikoyi Lagos,900000000,4.0,4.0,,15 Oct 2025,11 Nov 2025
5 Bedroom Detached Duplex,5 Bedroom Detached Duplex/House FOR Sale,Lekki Phase 1 Lekki Lagos,850000000,5.0,5.0,,22 Oct 2025,11 Nov 2025
3 Bedroom Apartment With Bq,3 Bedroom Apartment With Bq/Flat / Apartment FOR SALE,Old Ikoyi Ikoyi Lagos,1300000000,3.0,3.0,,26 May 2025,11 Nov 2025
3 Bedroom Maisonette,3 Bedroom Maisonette/House FOR Sale,Ikate Lekki Lagos,220000000,3.0,3.0,,22 Oct 2025,11 Nov 2025
5 Bedroom Detached Duplex,5 Bedroom Detached Duplex/House FOR Sale,Victory Park Estate Osapa London Lekki Lagos,750000000,5.0,5.0,,02 Oct 2025,11 Nov 2025
Stunning 4 Bedroom Terrace Duplex,Stunning 4 Bedroom Terrace Duplex/House FOR Sale,Orchid Lekki Lagos,95000000,4.0,4.0,,21 Oct 2025,11 Nov 2025
4 Bedroom Semi Detached Duplex,4 Bedroom Semi Detached Duplex/House FOR Sale,Orchid Lekki Lagos,155000000,4.0,4.0,,21 Oct 2025,11 Nov 2025
Stunning 4 Bedroom Detached Duplex,Stunning 4 Bedroom Detached Duplex/House FOR Sale,Ikoyi Lagos,1600000000,4.0,4.0,,19 Oct 2025,11 Nov 2025
5 Bedroom Maisonette,5 Bedroom Maisonette/House FOR Sale,Lekki Phase 1 Lekki Lagos,300000000,5.0,5.0,,22 Oct 2025,11 Nov 2025
4 Bedroom Semi Detached Duplex,4 Bedroom Semi Detached Duplex/House FOR Sale,Chevron Lekki Lagos,200000000,4.0,4.0,,21 Oct 2025,11 Nov 2025
5 Bedroom Detached Duplex,5 Bedroom Detached Duplex/House FOR Sale,Lekki Phase 1 Lekki Lagos,1000000000,5.0,5.0,,30 Sep 2025,11 Nov 2025
Lovely 3 Bedroom Apartment,Lovely 3 Bedroom Apartment/House FOR Sale,Orchid Lekki Lagos,90000000,3.0,3.0,,20 Oct 2025,11 Nov 2025
Newly Built 4 Bedroom Fully Detached Duplex,Newly Built 4 Bedroom Fully Detached Duplex/House FOR SALE,Igbo Efon Lekki Lagos,220000000,4.0,5.0,,18 Oct 2025,11 Nov 2025
3 Bedroom Apartment,3 Bedroom Apartment/House FOR Sale,Orchid Lekki Lagos,85000000,3.0,3.0,,22 Oct 2025,11 Nov 2025
3 Bedroom Terrace Duplex,3 Bedroom Terrace Duplex/House FOR Sale,Ikota Lekki Lagos,120000000,3.0,3.0,,22 Oct 2025,11 Nov 2025
2 Bedroom Apartment,2 Bedroom Apartment/House FOR Sale,Victoria Island Lagos,290000000,2.0,2.0,,21 Oct 2025,11 Nov 2025
4 Bedroom Semi Detached Duplex,4 Bedroom Semi Detached Duplex/House FOR Sale,Lekki Phase 1 Lekki Lagos,550000000,4.0,4.0,,21 Oct 2025,11 Nov 2025
4 Bedroom Terrace Duplex With Bq,4 Bedroom Terrace Duplex With Bq/House FOR Sale,Ikate Lekki Lagos,310000000,4.0,4.0,,23 Oct 2025,11 Nov 2025
Lovely 3 Bedroom Terraced Duplex,Lovely 3 Bedroom Terraced Duplex/House FOR Sale,"Lagos Business School, Ajah Lagos",90000000,3.0,3.0,,20 Oct 2025,11 Nov 2025
Stunning 2 Bedroom Apartment,Stunning 2 Bedroom Apartment/House FOR Sale,Lekki Phase 1 Lekki Lagos,300000000,2.0,2.0,,07 Oct 2025,11 Nov 2025
